Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link
Epic,"FG-ENF Browser Enforcement","Production WebExtensions-compatible browser extension (Chrome, Edge, Firefox) with domain/URL matching, idle detection, and block page.",High,extension,FG-ENF Browser Enforcement,
Task,"FG-101: WebExtensions Shared Core Architecture","Develop shared extension core in apps/extension/core/ supporting Manifest V3 for Chrome, Edge, and Firefox.",High,extension,,FG-ENF Browser Enforcement
Task,"FG-102: Hostname-Aware Domain Matcher","Implement strict hostname-aware domain normalizer, subdomain matcher, and URL pattern engine without insecure includes.",High,extension,,FG-ENF Browser Enforcement
Task,"FG-103: FocusGuard Block Page & Interceptor","Build high-fidelity block page (pages/block.html) with attention budget counters, reason, next reset, and Return to Focus button.",High,extension,,FG-ENF Browser Enforcement
Epic,"FG-ENF Android Enforcement","Native Android enforcement via UsageStatsManager, overlay lock screen, and system permission management.",High,android,FG-ENF Android Enforcement,
Story,"FG-201: Android Jetpack Compose UI & Room Database","Build dark mode dashboard, attention budget rings, Room DB schema, and DAOs.",High,android,,FG-ENF Android Enforcement
Story,"FG-202: UsageStatsManager Foreground Activity Tracking","Implement event-based usage tracking service querying Android UsageEvents.",High,android,,FG-ENF Android Enforcement
Story,"FG-203: Immutable Full-Screen Lock Overlay","Display immutable overlay lock activity when daily attention budget limit is exhausted.",High,android,,FG-ENF Android Enforcement
Epic,"FG-ENF macOS Enforcement","Native macOS Screen Time, FamilyControls authorization, DeviceActivity schedule monitoring, and ManagedSettings shields.",High,macos,FG-ENF macOS Enforcement,
Story,"FG-301: macOS SwiftUI Navigation & SwiftData Models","Build native macOS application shell, attention budget hero card, and SwiftData local store.",High,macos,,FG-ENF macOS Enforcement
Story,"FG-302: FamilyControls Authorization Workflow","Implement AuthorizationCenter.shared.requestAuthorization for native Screen Time access.",High,macos,,FG-ENF macOS Enforcement
Story,"FG-303: ManagedSettings Custom Shield Extension","Apply native ManagedSettingsStore shields with custom ShieldConfigurationExtension UI.",High,macos,,FG-ENF macOS Enforcement
